1,Annabelle Avery,1943-07-03,F,6.0,1.0,4.99,80,80,annabelle_avery9376@woohoo.com,303 N Timber Key,Irondale,Wisconsin,84736,data scientist,20,7,HR,80000
2,Micah Rubio,1991-02-07,M,5.0,8.0,4.4,33,30,rubio6772@hmail.com,767 Crescent Fair,Shoals,Indiana,37439,android developer,27,7,HR,80000
3,Hosea Dale,1989-12-07,M,8.0,8.0,6.74,34,30,hosea_dale8084@coldmail.com,P.O. Box 41269,St. Bonaventure,Virginia,83637,android developer,27,7,HR,80000
4,Mariann Kirk,1988-07-31,F,7.0,9.0,12.31,35,30,kirk4005@hmail.com,517 SE Wintergreen Isle,Lane,Arkansas,82242,machine learning engineer,35,6,education,61000
5,Lucio Alexander,1963-08-31,M,14.0,3.0,5.64,60,60,alexander9810@hmail.com,18 Cinder Cliff,Doyles borough,Rhode Island,73737,data analyst,12,7,HR,80000
6,Shavonda Mcmahon,1989-10-15,F,10.0,3.0,10.12,34,30,shavonda5863@coldmail.com,P.O. Box 81591,Tarpon Springs,Montana,37057,data analyst,12,6,education,61000
7,Terrell Bleijenberg,1959-05-05,M,9.0,8.0,24.17,64,60,bleijenberg188@hmail.com,P.O. Box 53471,Oskaloosa,Virginia,85274,android developer,27,2,engineer,101000
8,Stanford Allan,1997-11-22,M,3.0,1.0,19.54,26,20,stanford_allan8055@coldmail.com,255 Spring Avenue,Point Baker,Texas,15796,data scientist,20,3,software developer,110000
9,Tricia Delacruz,1961-10-20,F,6.0,9.0,1.75,62,60,tricia_delacruz6622@woohoo.com,997 Dewy Apple,Lake Lindsey,Washington,78266,machine learning engineer,35,1,analytics,86000
10,Regenia van der Helm,1999-02-23,N,7.0,6.0,13.55,25,20,regenia6908@inlook.com,220 Middle Ridge,Falcon Heights,New Mexico,46971,frontend engineer,20,5,financial services,135000
11,Shonda Stephanin,1998-10-24,F,5.0,10.0,12.61,25,20,shonda_stephanin4439@coldmail.com,818 Clear Street,Rockwood,Maine,14372,ux/ui designer,15,7,HR,80000
12,Marcus Mcfarland,1977-05-29,M,3.0,6.0,9.12,46,40,mcfarland1396@woohoo.com,718 Embers Lane,Dale,South Carolina,19186,frontend engineer,20,7,HR,80000
13,Edwardo Boonzayer,1975-05-23,N,15.0,5.0,6.09,48,40,edwardo8281@inlook.com,147 SW Plain,Solana Beach,Kansas,01794,backend engineer,18,2,engineer,101000
14,Robena Padilla,1969-01-15,F,5.0,9.0,15.92,55,50,robena_padilla1477@hmail.com,P.O. Box 73926,McLemoresville,Maryland,57372,machine learning engineer,35,3,software developer,110000
15,Tamala Sears,1942-06-01,F,13.0,1.0,4.64,81,80,tamala4408@woohoo.com,868 Hazy Crossing,Bethania,Washington,08205,data scientist,20,7,HR,80000
16,Norene Dalton,1976-04-30,F,0.0,0.0,0.0,47,40,norene_dalton9509@hmail.com,130 Wishing Essex,Branch,Ohio,13616,not applicable,0,6,education,61000
17,Maris Benskoop,1965-08-10,F,5.0,4.0,12.08,58,50,maris5817@hmail.com,P.O. Box 93831,South Mountain,Washington,02481,software engineering,25,5,financial services,135000
